player,era,peak_years,PPG,TS_pct,AST_pct,USG_pct,league_TS,PER,WS_per48
Michael Jordan,1990s,1987-1993,33.4,0.585,24.2,33.3,0.538,31.2,0.292
LeBron James,2010s,2008-2014,28.4,0.604,36.2,31.8,0.541,31.0,0.270
Stephen Curry,2010s,2015-2021,27.5,0.640,31.5,31.2,0.560,24.6,0.228
Kevin Durant,2010s,2012-2018,28.2,0.634,21.8,30.5,0.550,26.8,0.255
Shaquille O'Neal,2000s,1998-2004,27.5,0.583,16.2,30.2,0.521,29.3,0.270
Kareem Abdul-Jabbar,1970s,1971-1977,30.0,0.580,15.0,28.0,0.500,27.0,0.248
Wilt Chamberlain,1960s,1961-1967,36.6,0.547,12.5,35.0,0.480,28.5,0.250
Kobe Bryant,2000s,2002-2008,30.2,0.558,25.0,33.0,0.530,25.2,0.198
James Harden,2010s,2017-2021,30.4,0.612,42.0,36.1,0.560,27.5,0.218
Luka Doncic,2020s,2021-2025,29.8,0.590,45.0,35.5,0.570,25.5,0.175
