Rank,player,era,PPG,TS_plus,AST_pct,Score
1,Wilt Chamberlain,1960s,36.6,1.1395833333333334,12.5,1.1367303340200994
2,Michael Jordan,1990s,33.4,1.087360594795539,24.2,0.37194129695827755
3,James Harden,2010s,30.4,1.0928571428571427,42.0,0.18888425427491756
4,Kareem Abdul-Jabbar,1970s,30.0,1.16,15.0,0.11656463587397914
5,LeBron James,2010s,28.4,1.1164510166358594,36.2,-0.11164945122788675
6,Kevin Durant,2010s,28.2,1.1527272727272726,21.8,-0.144266114293632
7,Stephen Curry,2010s,27.5,1.1428571428571428,31.5,-0.1675527923720522
8,Luka Doncic,2020s,29.8,1.0350877192982457,45.0,-0.29839515739409683
9,Kobe Bryant,2000s,30.2,1.0528301886792453,25.0,-0.46261746066421455
10,Shaquille O'Neal,2000s,27.5,1.1190019193857965,16.2,-0.6296395451754037
